hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,booking_changes,customer_type,adr,arrival_date_year,arrival_date_month,arrival_date_day_of_month,is_canceled,total_stay,total_guests,is_family,lead_time_group,arrival_date,arrival_year,arrival_month,arrival_day
1,264,0,5,3,1,0,2,0,1,0,3,1,0,198.91,2022,June,16,0,5,4,1,Long,2022-08-09,2022,8,9
0,355,0,8,3,1,1,2,0,0,0,2,1,0,184.31,2022,August,11,0,8,5,1,Long,2024-09-05,2024,9,5
1,325,1,1,2,2,1,2,1,0,0,0,2,1,184.28,2022,October,10,0,2,5,1,Long,2023-02-04,2023,2,4
1,23,0,4,1,0,0,0,2,0,0,3,1,1,459.07,2022,January,7,0,4,1,0,Short,2023-02-17,2023,2,17
1,217,2,6,3,0,1,1,0,0,0,3,2,2,95.48,2022,November,19,0,8,4,1,Long,2024-11-11,2024,11,11
0,353,0,7,2,0,0,1,2,0,1,3,0,0,440.7,2024,September,13,1,7,2,1,Long,2023-10-23,2023,10,23
1,64,2,5,2,0,0,0,1,1,1,4,0,2,487.29,2022,August,12,0,7,2,1,Medium,2022-01-06,2022,1,6
1,214,2,4,2,0,0,2,2,0,0,0,2,1,156.61,2023,June,11,0,6,2,1,Long,2023-11-26,2023,11,26
1,99,2,7,2,2,0,0,2,1,1,1,0,1,278.46,2023,May,26,0,9,4,1,Long,2022-02-26,2022,2,26
0,305,2,9,1,2,1,1,2,1,1,3,0,2,206.74,2024,May,4,0,11,4,1,Long,2022-01-30,2022,1,30
1,249,1,6,2,1,0,3,0,0,1,1,2,1,310.85,2024,April,2,1,7,3,1,Long,2023-05-08,2023,5,8
1,275,2,9,1,0,0,0,2,1,1,3,1,2,171.14,2023,December,8,0,11,1,0,Long,2023-12-01,2023,12,1
1,314,2,6,1,2,0,2,0,1,1,0,1,1,435.16,2023,December,6,1,8,3,1,Long,2022-02-04,2022,2,4
1,314,0,4,2,2,1,1,0,0,1,0,0,2,492.58,2023,August,2,0,4,5,1,Long,2023-06-10,2023,6,10
0,89,0,1,3,1,1,3,2,1,0,2,1,2,223.99,2023,April,10,0,1,5,1,Medium,2024-02-12,2024,2,12
1,339,2,7,3,1,1,1,2,1,0,3,1,2,50.35,2023,September,26,0,9,5,1,Long,2022-12-28,2022,12,28
0,250,1,1,2,1,0,1,2,0,1,0,0,2,459.06,2022,September,22,0,2,3,1,Long,2022-04-07,2022,4,7
0,64,1,1,2,2,1,1,2,1,0,0,0,2,89.68,2023,December,30,0,2,5,1,Medium,2023-06-04,2023,6,4
0,235,0,4,2,1,0,2,0,0,0,2,1,0,123.72,2023,October,4,1,4,3,1,Long,2024-03-17,2024,3,17
1,76,0,3,3,1,1,3,2,0,0,4,1,1,420.37,2023,April,13,0,3,5,1,Medium,2023-10-14,2023,10,14
0,57,0,8,2,0,0,1,2,1,1,3,0,0,145.31,2022,October,15,1,8,2,1,Medium,2024-09-25,2024,9,25
1,99,0,6,3,1,0,1,0,0,1,4,2,0,157.89,2023,June,12,1,6,4,1,Long,2022-09-01,2022,9,1
0,299,1,2,3,0,1,1,1,0,1,2,1,2,304.5,2022,January,16,0,3,4,1,Long,2023-12-21,2023,12,21
0,244,0,1,1,2,0,1,1,0,1,0,2,1,419.55,2024,September,9,0,1,3,1,Long,2022-02-10,2022,2,10
0,51,0,9,3,1,1,0,1,1,1,1,2,1,292.6,2024,October,20,0,9,5,1,Medium,2023-07-11,2023,7,11
0,161,1,5,2,2,0,1,1,0,1,2,1,0,176.72,2022,February,14,1,6,4,1,Long,2023-12-30,2023,12,30
0,190,2,7,1,0,0,1,0,1,1,3,1,1,386.04,2023,July,13,1,9,1,0,Long,2022-06-09,2022,6,9
0,121,1,2,1,1,1,2,2,0,0,2,2,1,138.24,2022,August,15,0,3,3,1,Long,2023-09-28,2023,9,28
0,267,0,6,3,0,0,0,0,1,1,2,0,0,302.18,2022,August,22,0,6,3,1,Long,2024-06-10,2024,6,10
0,293,1,5,3,2,0,2,1,1,1,3,2,1,346.43,2022,June,1,1,6,5,1,Long,2022-02-26,2022,2,26
1,245,2,8,3,2,0,0,1,1,1,4,2,0,136.66,2024,June,1,1,10,5,1,Long,2024-02-27,2024,2,27
1,183,0,6,2,2,1,3,2,0,1,3,0,0,197.71,2022,April,18,0,6,5,1,Long,2023-05-24,2023,5,24
0,345,0,6,3,2,1,1,2,1,0,1,2,1,114.52,2023,October,19,0,6,6,1,Long,2024-03-13,2024,3,13
0,167,2,9,2,2,0,2,0,1,1,0,2,1,76.63,2022,April,10,0,11,4,1,Long,2024-11-04,2024,11,4
0,103,2,5,1,2,1,3,0,1,1,4,0,0,116.49,2023,September,27,0,7,4,1,Long,2024-07-21,2024,7,21
1,88,0,9,3,2,1,0,0,1,0,2,0,2,214.47,2022,June,28,1,9,6,1,Medium,2023-11-20,2023,11,20
0,11,0,7,3,0,0,2,0,0,1,4,2,1,98.35,2022,August,11,1,7,3,1,Short,2024-02-05,2024,2,5
1,88,1,9,1,1,0,3,2,0,0,2,1,1,218.91,2022,June,28,0,10,2,1,Medium,2023-08-24,2023,8,24
1,153,1,4,3,0,0,0,0,0,1,0,0,1,171.45,2022,May,11,1,5,3,1,Long,2022-02-10,2022,2,10
